00-465,29 Listopada,Warszawa,Mazowieckie,
00-910,Admiralska,Warszawa,Mazowieckie,
00-460,Agrykola,Warszawa,Mazowieckie,
00-147,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 1 to 5
00-159,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 7 to last
00-201,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 6 to 28
00-210,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 30 to last
00-116,Al. Jana Pawla II,Warszawa,Mazowieckie,from 18 to 18
00-117,Al. Jana Pawla II,Warszawa,Mazowieckie,from 2 to 10
00-124,Al. Jana Pawla II,Warszawa,Mazowieckie,from 12 to 16
00-133,Al. Jana Pawla II,Warszawa,Mazowieckie,from 20 to 26
00-135,Al. Jana Pawla II,Warszawa,Mazowieckie,from 28 to 30
00-141,Al. Jana Pawla II,Warszawa,Mazowieckie,from 32 to 42
00-145,Al. Jana Pawla II,Warszawa,Mazowieckie,from 44 to 44
00-148,Al. Jana Pawla II,Warszawa,Mazowieckie,from 46 to 50
00-152,Al. Jana Pawla II,Warszawa,Mazowieckie,from 52 to 54
00-156,Al. Jana Pawla II,Warszawa,Mazowieckie,from 56 to 58
00-166,Al. Jana Pawla II,Warszawa,Mazowieckie,from 60 to 62
00-170,Al. Jana Pawla II,Warszawa,Mazowieckie,from 64 to 68
00-175,Al. Jana Pawla II,Warszawa,Mazowieckie,from 70 to last
00-090,Al. Solidarnosci,Warszawa,Mazowieckie,from 71 to 79
00-140,Al. Solidarnosci,Warszawa,Mazowieckie,from 103 to 117
00-144,Al. Solidarnosci,Warszawa,Mazowieckie,from 81 to 101
00-145,Al. Solidarnosci,Warszawa,Mazowieckie,from 72 to 82
00-381,Al. 3 Maja,Warszawa,Mazowieckie,from 14 to last
00-391,Al. 3 Maja,Warszawa,Mazowieckie,from 2 to 12
00-401,Al. 3 Maja,Warszawa,Mazowieckie,from 1 to last
00-571,Al. Armii Ludowej,Warszawa,Mazowieckie,from 2 to 8
00-575,Al. Armii Ludowej,Warszawa,Mazowieckie,from 1 to 11
00-605,Al. Armii Ludowej,Warszawa,Mazowieckie,from 29 to last
00-609,Al. Armii Ludowej,Warszawa,Mazowieckie,from 24 to last
00-632,Al. Armii Ludowej,Warszawa,Mazowieckie,from 13 to 17
00-637,Al. Armii Ludowej,Warszawa,Mazowieckie,from 16 to 22 from 19 to 27
00-638,Al. Armii Ludowej,Warszawa,Mazowieckie,from 10 to 14
00-147,Al. Generala Andersa Wladyslawa,Warszawa,Mazowieckie,from 1 to 5
