ID_Ucznia_w_klasie,ID_Przedmiotu,Ocena,Frekwencja
100141,1,4,73
100141,2,4,80
100141,3,3,74
100142,1,2,71
100142,2,4,83
100142,3,1,73
100143,1,5,75
100143,2,1,74
100143,3,1,71
100144,1,4,95
100144,2,3,69
100144,3,5,74
100145,1,3,81
100145,2,5,98
100145,3,4,75
100146,1,3,81
100146,2,3,83
100146,3,4,83
100147,1,1,84
100147,2,4,80
100147,3,3,75
100148,1,4,73
100148,2,4,79
100148,3,3,86
100149,1,4,51
100149,2,5,90
100149,3,6,71
100150,1,2,84
100150,2,4,88
100150,3,3,85
100151,1,4,73
100151,2,4,36
100151,3,5,80
100152,1,3,87
100152,2,4,89
100152,3,5,73
100153,1,1,83
100153,2,5,85
100153,3,3,82
100154,1,4,87
100154,2,5,74
100154,3,1,70
100155,1,2,72
100155,2,2,77
100155,3,4,76
100156,1,4,91
100156,2,3,77
100156,3,1,81
100157,1,3,74
100157,2,2,95
100157,3,3,80
100158,1,4,55
100158,2,2,100
100158,3,1,32
100159,1,4,89
100159,2,2,78
100159,3,5,45
100160,1,1,77
100160,2,4,81
100160,3,5,89
100161,1,3,78
100161,2,3,36
100161,3,4,72
100162,1,1,74
100162,2,5,79
100162,3,4,100
100163,1,4,87
100163,2,5,74
100163,3,3,63
100164,1,5,94
100164,2,3,84
100164,3,1,78
100165,1,6,79
100165,2,4,82
100165,3,4,99
100166,1,5,82
100166,2,3,84
100166,3,2,95
100167,1,4,67
100167,2,3,81
100167,3,6,93
100168,1,4,85
100168,2,3,79
100168,3,2,76
100169,1,3,89
100169,2,4,35
100169,3,4,94
100170,1,1,81
100170,2,1,85
100170,3,4,83
100171,1,6,38
100171,2,2,82
100171,3,5,90
100172,1,3,74
100172,2,4,85
100172,3,3,71
100173,1,3,86
100173,2,4,96
100173,3,1,83
100174,1,4,87
100174,2,4,73
100174,3,4,85
100175,1,3,84
100175,2,2,79
100175,3,1,88
100176,1,2,97
100176,2,6,72
100176,3,2,88
100177,1,4,86
100177,2,4,73
100177,3,5,53
100178,1,4,85
100178,2,1,18
100178,3,3,51
100179,1,5,36
100179,2,4,75
100179,3,3,62
100180,1,4,75
100180,2,4,74
100180,3,1,87
100181,1,4,83
100181,2,3,79
100181,3,6,97
100182,1,5,74
100182,2,3,75
100182,3,4,71
100183,1,2,97
100183,2,4,35
100183,3,4,95
100184,1,6,72
100184,2,4,100
100184,3,4,98
