ID_Ucznia_w_klasie,IDPrzedmiotu,Ocena,Frekwencja
1,1,3,78
1,2,2,61
1,3,6,89
2,1,4,93
2,2,4,24
2,3,4,72
3,1,3,70
3,2,5,100
3,3,4,100
4,1,4,64
4,2,1,65
4,3,5,83
5,1,5,79
5,2,3,85
5,3,4,56
6,1,4,80
6,2,2,94
6,3,2,82
7,1,3,59
7,2,3,73
7,3,5,62
8,1,5,77
8,2,4,63
8,3,5,77
9,1,3,70
9,2,3,99
9,3,1,72
10,1,3,98
10,2,3,76
10,3,3,57
11,1,4,54
11,2,1,74
11,3,1,99
12,1,3,97
12,2,4,57
12,3,3,76
13,1,3,70
13,2,3,75
13,3,2,74
14,1,3,76
14,2,4,75
14,3,3,92
15,1,4,77
15,2,4,38
15,3,2,86
16,1,3,87
16,2,4,31
16,3,4,94
17,1,3,100
17,2,5,69
17,3,4,70
18,1,2,52
18,2,5,94
18,3,4,98
19,1,4,94
19,2,4,81
19,3,6,75
20,1,3,79
20,2,6,86
20,3,2,59
21,1,3,74
21,2,2,85
21,3,5,78
22,1,6,82
22,2,4,32
22,3,1,70
23,1,3,90
23,2,5,81
23,3,5,94
24,1,4,96
24,2,3,75
24,3,3,81
25,1,3,99
25,2,4,96
25,3,4,71
26,1,5,74
26,2,5,89
26,3,4,80
27,1,4,73
27,2,4,98
27,3,4,95
28,1,3,79
28,2,2,79
28,3,4,96
29,1,4,77
29,2,5,72
29,3,3,31
30,1,2,73
30,2,4,34
30,3,4,70
