ID_Ucznia_w_klasie,ID_Przedmiotu,Ocena,Frekwencja
31,1,5,77
31,2,3,88
31,3,3,77
32,1,3,92
32,2,4,53
32,3,4,78
33,1,4,89
33,2,6,64
33,3,5,82
34,1,4,96
34,2,5,75
34,3,3,67
35,1,1,76
35,2,1,87
35,3,4,70
36,1,4,76
36,2,4,73
36,3,4,77
37,1,3,81
37,2,3,78
37,3,4,99
38,1,4,12
38,2,3,100
38,3,5,89
39,1,4,87
39,2,3,72
39,3,1,97
40,1,3,32
40,2,2,74
40,3,3,46
41,1,3,97
41,2,6,70
41,3,3,75
42,1,1,89
42,2,2,70
42,3,5,67
43,1,5,83
43,2,5,83
43,3,1,90
44,1,4,35
44,2,1,63
44,3,4,56
45,1,5,81
45,2,5,71
45,3,4,99
46,1,4,77
46,2,3,100
46,3,3,99
47,1,5,72
47,2,4,78
47,3,5,100
48,1,3,76
48,2,1,70
48,3,4,53
49,1,4,80
49,2,1,74
49,3,4,84
50,1,4,74
50,2,4,100
50,3,4,86
51,1,5,54
51,2,5,62
51,3,4,33
52,1,3,59
52,2,5,83
52,3,4,85
53,1,3,87
53,2,4,88
53,3,3,77
54,1,6,42
54,2,6,78
54,3,3,72
55,1,3,90
55,2,3,48
55,3,4,76
56,1,2,87
56,2,3,83
56,3,3,80
57,1,3,71
57,2,3,81
57,3,4,85
